ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
6907	CTNNB1-FERMT2-TCF7L2 complex	Human	Kindlin 2\u2013b-catenin\u2013TCF4 tripartite complex	HEK293T cells	P35222;Q96AC1;Q9NQB0	1499;10979;6934	MI:0007-anti tag coimmunoprecipitation	GO:0005634;GO:0030177	nucleus;positive regulation of Wnt signaling pathway	70.10	nucleus	CTNNB;KIND2,MIG2,PLEKHC1;TCF4	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CTNNB1;FERMT2;TCF7L2	22699938	Catenin beta-1;Fermitin family homolog 2;Transcription factor 7-like 2
6908	CTNNB1-FERMT2-YBX1 complex	Human	None	U-87 MG cells	P35222;P67809;Q96AC1	1499;4904;10979	MI:0663-confocal microscopy;MI:0019-coimmunoprecipitation	GO:1901186;GO:0006355;GO:0005737;GO:0005634	positive regulation of ERBB signaling pathway;regulation of transcription, DNA-templated;cytoplasm;nucleus	11.02.03.04;70.03;70.10	transcriptional control;cytoplasm;nucleus	CTNNB;NSEP1 YB1;KIND2,MIG2,PLEKHC1	None	High Kindlin-2 (FERMT2) expression is correlated with high tumor grade and poor prognosis in glioma patients.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CTNNB1;YBX1;FERMT2	27713156	Catenin beta-1;Nuclease-sensitive element-binding protein 1;Fermitin family homolog 2
6909	FGF1-FGFR1-ITGB3 complex	Human	None	HUVEC cells	P05106;P05230;P11362	3690;2246;2260	MI:0019-coimmunoprecipitation	GO:0070374;GO:0008543	positive regulation of ERK1 and ERK2 cascade;fibroblast growth factor receptor signaling pathway	30.05.01.12.03	FGF-receptor signalling pathway	GP3A;FGFA;BFGFR, CEK, FGFBR, FLG, FLT2, HBGFR	Results suggest that the simultaneous binding of FGFR1 and Integrin beta-3 to FGF1 occurs during FGF signaling.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ITGB3;FGF1;FGFR1	20422052	Integrin beta-3;Fibroblast growth factor 1;Fibroblast growth factor receptor 1
6910	EED-EZH2-PHF19 complex	Human	EED-EZH2-hPCL3 complex	HEK-293T cells, HeLa cells, U2OS cells	O75530;Q15910;Q5T6S3	8726;2146;26147	MI:0007-anti tag coimmunoprecipitation;MI:0071-molecular sieving	GO:0005634	nucleus	70.10	nucleus	None;KMT6;PCL3	hPCL3 (PHF19) encodes a long isoform, hPCL3L and a smaller isoform, hPCL3S. Both isoforms are widely co-expressed at high levels in medulloblastoma.	Both isoforms of hPCL3 (PHF19) are widely co-expressed at high levels in medulloblastoma.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	EED;EZH2;PHF19	21143197	Polycomb protein EED;Histone-lysine N-methyltransferase EZH2;PHD finger protein 19
6911	Frs2-Grb2-Sos1 complex	Mouse	None	NIH-3T3 cells, PC12 cells	Q60631;Q62245;Q8C180	14784;20662;327826	MI:0096-pull down	GO:0005886;GO:0000187;GO:0031175;GO:2000573	plasma membrane;activation of MAPK activity;neuron projection development;positive regulation of DNA biosynthetic process	70.02	eukaryotic plasma membrane / membrane attached	None;None;Frs2a	The Frs2 subunit is myristylated and this modification is essential for membrane localization, tyrosine phosphorylation, Grb2/Sos recruitment, and MAPK activation of the complex.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Grb2;Sos1;Frs2	9182757	Growth factor receptor-bound protein 2;Son of sevenless homolog 1;Fibroblast growth factor receptor substrate 2
6912	Cbl-Frs2-Grb2 complex	Mouse	None	NIH 3T3 cells	P22682;Q60631;Q8C180	12402;14784;327826	MI:0096-pull down;MI:0007-anti tag coimmunoprecipitation	GO:0006511	ubiquitin-dependent protein catabolic process	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	None;None;Frs2a	Grb2 bound to tyrosine-phosphorylated Frs2  forms a ternary complex with Cbl by means of resulting in the ubiquitination of fibroblast growth factor receptor and FRS2 in response to FGF stimulation. Sos1 (see complex 6911) and Cbl compete for the same binding site on Grb2.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Cbl;Grb2;Frs2	11997436	E3 ubiquitin-protein ligase CBL;Growth factor receptor-bound protein 2;Fibroblast growth factor receptor substrate 2
6913	ELN-FBLN2-FBN1 complex	Human	None	HEK 293 cells	P15502;P35555;P98095	2006;2200;2199	MI:0096-pull down;MI:0071-molecular sieving	GO:0050436	microfibril binding	None	None	None;FBN;None	Fibulins 2 and Fibulin 5 can act as adaptors between Fibrillin-1 and (Tropo-) elastin.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ELN;FBN1;FBLN2	17255108	Elastin;Fibrillin-1;Fibulin-2
6914	ELN-FBLN5-FBN1 complex	Human	None	HEK 293 cells	P15502;P35555;Q9UBX5	2006;2200;10516	MI:0096-pull down;MI:0071-molecular sieving	GO:0050436	microfibril binding	None	None	None;FBN;DANCE	Fibulins 2 and Fibulin 5 can act as adaptors between Fibrillin-1 and (Tropo-) elastin.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ELN;FBN1;FBLN5	17255108	Elastin;Fibrillin-1;Fibulin-5
6915	Cdk1-Hspa2-tNasp complex	Mouse	tNASP-HSPA2-CDC2 complex	None	P11440;P17156;Q99MD9	12534;15512;50927	MI:0019-coimmunoprecipitation	GO:0051321	meiotic cell cycle	None	None	Cdc2, Cdc2a, Cdkn1;None;None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Cdk1;Hspa2;Nasp	19553603	Cyclin-dependent kinase 1;Heat shock-related 70 kDa protein 2;Nuclear autoantigenic sperm protein
6916	CTTN-FER-PTK2 complex	Human	None	Huh7 cells	P16591;Q05397;Q14247	2241;5747;2017	MI:0019-coimmunoprecipitation	GO:0022604	regulation of cell morphogenesis	None	None	TYK3;FAK, FAK1;EMS1	Results suggest that Fer-mediated phosphorylation of specific FAK tyrosine residues may lead to membrane protrusions even in non-adherent conditions.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	FER;PTK2;CTTN	19339212	Tyrosine-protein kinase Fer;Focal adhesion kinase 1;Src substrate cortactin
6918	Bcar1-Crk-Ptk2-Rapgef1 complex	Rat	None	REF-52 cells	O35346;Q63767;Q63768;Q9QYV3	25614;25414;54245;63881	MI:0019-coimmunoprecipitation	GO:0023052	signaling	30.01	cellular signalling	Fak Fak1;Cas,Crkas;Crko;c3g Grf2 Grf2_v1 Grf2_v2 Rapgef1_v1 Rapgef1_v2	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Ptk2;Bcar1;Crk;Rapgef1	8649368	Focal adhesion kinase 1;Breast cancer anti-estrogen resistance protein 1;Adapter molecule crk;C3G protein
6919	ILK-LIMS1-PARVA complex	Human	PIP complex; PINCH-1-ILK-alpha-parvin complex	human mesenchymal stem cells	P48059;Q13418;Q9NVD7	3987;3611;55742	MI:0019-coimmunoprecipitation	GO:0016477;GO:0006915;GO:0008360;GO:0007160	cell migration;apoptotic process;regulation of cell shape;cell-matrix adhesion	34.05.01;40.10.02;34.07.02	cell migration;apoptosis (type I programmed cell death);cell-matrix adhesion	PINCH PINCH1;ILK1 ILK2;MXRA2	The PINCH-1- integrin-linked kinase (ILK)- -parvin (PIP) complex plays important roles in the regulation of glomerular cell behavior, including podocyte shape change, apoptosis, and mesangial fibronectin matrix deposition.DEX partially stimulates hMSC migration by the expression of beta1-integrin through formation of a ILK-LIMS1/2-PARVA complex.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Experiments in mice (PMID: 18480182) have shown the existance of ILK-LIMS1-PARVA complex and ILK-LIMS2-PARVA complex.	LIMS1;ILK;PARVA	20717960	LIM and senescent cell antigen-like-containing domain protein 1;Integrin-linked protein kinase;Alpha-parvin
6920	ILK-LIMS2-PARVA complex	Human	PIP complex; PINCH-2-ILK-alpha-parvin complex	human mesenchymal stem cells	Q13418;Q7Z4I7;Q9NVD7	3611;55679;55742	MI:0019-coimmunoprecipitation	GO:0016477;GO:0008360;GO:0007160	cell migration;regulation of cell shape;cell-matrix adhesion	34.05.01;34.07.02	cell migration;cell-matrix adhesion	ILK1 ILK2;PINCH2;MXRA2	Overexpression of PINCH-2 in mesangial cells resulted in displacement of PINCH-1 from the PIP complex but impaired neither mesangial cell spreading nor fibronectin matrix deposition.DEX partially stimulates hMSC migration by the expression of beta1-integrin through formation of a ILK-LIMS1/2-PARVA complex.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Experiments in mice (PMID: 18480182) have shown the existance of ILK-LIMS1-PARVA complex and ILK-LIMS2-PARVA complex with different functions.	ILK;LIMS2;PARVA	20717960	Integrin-linked protein kinase;LIM and senescent cell antigen-like-containing domain protein 2;Alpha-parvin
6921	FAK\u2013p130Cas\u2013MT1 complex	Human	BCAR1-MMP14-PTK2 complex	293T cells; HT-1080 cells	P50281;P56945;Q05397	4323;9564;5747	MI:0007-anti tag coimmunoprecipitation	GO:0010715	regulation of extracellular matrix disassembly	None	None	None;CAS, CASS1, CRKAS;FAK, FAK1	Invasive matrix degradation at focal adhesions occurs via protease recruitment by the FAK\u2013p130Cas\u2013MT1 complex	Disruption of the FAK\u2013p130Cas\u2013MT1 complex impairs tumor cell invasion in vitro	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MMP14;BCAR1;PTK2	22291036	Matrix metalloproteinase-14;Breast cancer anti-estrogen resistance protein 1;Focal adhesion kinase 1
6922	Cyth2-Src complex	Mouse	Cytohesin-2-Paxillin complex	3T3-L1 cells	P05480;P63034	20779;19158	MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0044319	wound healing, spreading of cells	None	None	pp60c-src;Pscd2,Sec7b	Cyth2-Src complex interaction is involved in the migration of mouse preadipocyte 3T3-L1 cells.	None	Mus musculus (Mouse);Mus musculus (Mouse)	None	Src;Cyth2	20525696	Neuronal proto-oncogene tyrosine-protein kinase Src;Cytohesin-2
6923	WAVE1 complex	Bovine	ABI2-BRK1-CYFIP1-NCKAP1-WASF1 complex	bovine brain extracts	A7MB24;A8YXX8;F1MPZ9;P85091;Q0IIJ3	537711;540092;None;None;531488	MI:0029-cosedimentation through density gradients;MI:0019-coimmunoprecipitation	GO:0045010	actin nucleation	None	None	None;BRK1;None;None;None	The WAVE1 complex elutes in size-exclusion chromatography with a Mr of 500K.	None	Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	Since BRK1 from bovine was not available in the UniProt database at the time of annotation, the orthologous protein from humo sapiens was used.	ABI2;C22H3ORF10;NCKAP1;CYFIP1;WASF1	12181570	ABI2 protein;BRICK1, SCAR/WAVE actin nucleating complex subunit;NCK associated protein 1;Cytoplasmic FMR1-interacting protein 1;Wiskott-Aldrich syndrome protein family member 1
6924	Fak-Pde4d5-Rack1 complex	Mouse	Pde4d-Ptk2-Rack1 complex	squamous cell carcinomas (SCCs)	P34152;P68040;Q01063	14083;14694;238871	None	GO:0030010;GO:0034446;GO:0005925	establishment of cell polarity;substrate adhesion-dependent cell spreading;focal adhesion	None	None	Fadk Fak Fak1 Kiaa4203;Gnb2l1;None	Fak-Pde4d5-Rack1 complex is a \u2018direction-sensing\u2019 complex that acts to recruit specific components of the cAMP second-messenger system to nascent integrin adhesions and to the leading edge of polarizing cells.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Ptk2;Rack1;Pde4d	20493699	Focal adhesion kinase 1;Receptor of activated protein C kinase 1;cAMP-specific 3',5'-cyclic phosphodiesterase 4D
6925	MAPK1-PTK2-PXN complex	Human	Paxillin-FAK-ERK complex	5637 bladder cancer cells	P28482;P49023;Q05397	5594;5829;5747	MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0016477;GO:0042060	cell migration;wound healing	34.05.01	cell migration	ERK2, PRKM1, PRKM2;None;FAK, FAK1	The growth factor proepithelin promotes paxillin activation and the formation of the MAPK3-PTK2-PXN complex.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MAPK1;PXN;PTK2	16849556	Mitogen-activated protein kinase 1;Paxillin;Focal adhesion kinase 1
6926	FAK-p120RasGAP-p190RhoGAP complex	Mouse	Ptk2-Rasa1-Rasgrf1 complex	mouse embryonic fibroblasts	E9PYG6;P27671;P34152	218397;19417;14083	MI:0019-coimmunoprecipitation	GO:1903689	regulation of wound healing, spreading of epidermal cells	None	None	None;Cdc25,Grf1;Fadk Fak Fak1 Kiaa4203	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Rasa1;Rasgrf1;Ptk2	19435801	RAS p21 protein activator 1;Ras-specific guanine nucleotide-releasing factor 1;Focal adhesion kinase 1
6927	Robo4\u2013paxillin complex	Human	PXN-ROBO4 complex	HEK 293 cells	P49023;Q8WZ75	5829;54538	MI:0019-coimmunoprecipitation	GO:2001212	regulation of vasculogenesis	None	None	None;None	Formation of a Robo4\u2013paxillin complex at the cell surface blocks activation of the small GTPase Arf6. Blocking Arf6 activity promotes vascular stability.	None	Homo sapiens (Human);Homo sapiens (Human)	None	PXN;ROBO4	19855388	Paxillin;Roundabout homolog 4
6928	ARHGEF7-GIT2-PAK1 complex	Human	PKL-PIX-PAK1 complex	Jurkat cells	Q13153;Q14155;Q14161	5058;8874;9815	MI:0007-anti tag coimmunoprecipitation	GO:0050863;GO:0050852	regulation of T cell activation;T cell receptor signaling pathway	None	None	None;COOL1, KIAA0142, P85SPR, PAK3BP, PIXB;KIAA0148, PKL	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	PAK1;ARHGEF7;GIT2	11157752	Serine/threonine-protein kinase PAK 1;Rho guanine nucleotide exchange factor 7;ARF GTPase-activating protein GIT2
6929	AKT1-FOXO1-WDFY2 complex	Human	None	HEK293T cells	P31749;Q12778;Q96P53	207;2308;115825	MI:0007-anti tag coimmunoprecipitation	GO:1904179	positive regulation of adipose tissue development	None	None	PKB, RAC;FKHR, FOXO1A;WDF2,ZFYVE22	WDFY2 binds Akt1 and Foxo1 and facilitates Foxo1 Ser253 phosphorylation by insulin-stimulated Akt1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	AKT1;FOXO1;WDFY2	18388859	RAC-alpha serine/threonine-protein kinase;Forkhead box protein O1;WD repeat and FYVE domain-containing protein 2
6930	PRKCZ-VAMP2-WDFY2 complex	Human	None	HEK 293T cells	P63027;Q05513;Q96P53	6844;5590;115825	MI:0007-anti tag coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0036465	synaptic vesicle recycling	20.09.07.29	vesicle recycling	SYB2;PKC2;WDF2,ZFYVE22	The complex may be involved in vesicle cycling in various secretory pathways.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	VAMP2;PRKCZ;WDFY2	17313651	Vesicle-associated membrane protein 2;Protein kinase C zeta type;WD repeat and FYVE domain-containing protein 2
6931	FOXP3-TRIM28-ZFP90 complex	Human	FOXP3\u2013FIK\u2013KAP1 complex	HEK 293T cells	Q13263;Q8TF47;Q9BZS1	10155;146198;50943	MI:0019-coimmunoprecipitation	GO:0006338;GO:0045892	chromatin remodeling;negative regulation of transcription, DNA-templated	11.02.03.04.03	transcription repression	KAP1 RNF96 TIF1B;KIAA1954,ZNF756;IPEX,JM2	In human regulatory T cells, a specific splice form of ZFP90 couples FOXP3 to a repressive chromatin-remodeling complex that includes the adaptor TRIM28.There is no sequence homologous with the unique C-terminal sequence of ZFP90 from the FOXP3-TRIM28-ZFP90 complex in the mouse genome.	FOXP3 mutations in humans with immune dysfunction, polyendocrinopathy, enteropathy, X-linked syndrome, leads to the rapid onset of fatal autoimmune lymphoproliferative disease.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	TRIM28;ZFP90;FOXP3	23543754	Transcription intermediary factor 1-beta;Zinc finger protein 90 homolog;Forkhead box protein P3
6932	AJUBA-PRMT5-SNAI1 complex	Human	SNAIL-AJUBA-PRMT5 complex	HEK293 cells	O14744;O95863;Q96IF1	10419;6615;84962	MI:0416-fluorescence microscopy;MI:0007-anti tag coimmunoprecipitation	GO:0090568	nuclear transcriptional repressor complex	None	None	HRMT1L5, IBP72, JBP1, SKB1;SNAH;JUB	When AJUBA, SNAIL, and PRMT5 are coexpressed, a significant amount of the PRMT5 protein is relocated to the nucleus and colocalizes with nuclear SNAIL and AJUBA.The AJUBA-PRMT5-SNAI1 complex binds to the endogenous promoter of E-cadherin and downregulates  E-cadherin gene expression.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	The AJUBA protein functions as an adaptor to bridge SNAIL and PRMT5 proteins.	PRMT5;SNAI1;AJUBA	18347060	Protein arginine N-methyltransferase 5;Zinc finger protein SNAI1;LIM domain-containing protein ajuba
6933	PRKCZ-SQSTM-TRAF6 complex	Human	aPKC-p62-TRAF6 complex	HepG2 cells; HEK293 cells	Q05513;Q13501;Q9Y4K3	5590;8878;7189	MI:0019-coimmunoprecipitation	GO:1901222	regulation of NIK/NF-kappaB signaling	None	None	PKC2;ORCA OSIL;RNF85	Results provide evidence indicating that Ajuba is a new cytosolic component of the IL-1 signaling pathway modulating IL-1-induced NFkappaB activation by influencing the assembly and activity of the PRKCZ-SQSTM-TRAF6 signaling complex.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	PRKCZ;SQSTM1;TRAF6	15870274	Protein kinase C zeta type;Sequestosome-1;TNF receptor-associated factor 6
6934	ITGA4-PXN-YWHAZ complex	Hamster	Integrin-alpha4\u201314-3-3zeta\u2013paxillin complex	CHO-B2 cells	A0A1U8C4L9;A0A1U8CRX6;P49023	None;101829758;5829	MI:0019-coimmunoprecipitation;MI:0055-fluorescent resonance energy transfer	GO:2000145	regulation of cell motility	None	None	None;None;None	The integrity of the ITGA4-PXN-YWHAZ complex is essential for focused Cdc42 activity at the lamellipodial leading edge and directed cell movement.	None	Mesocricetus auratus (Golden hamster);Mesocricetus auratus (Golden hamster);Homo sapiens (Human)	Since PXN  from hamster was not available in the UniProt database at the time of annotation, the orthologous protein from human was used.	Ywhaz;Itga4;PXN	19401330	14-3-3 protein zeta/delta;integrin alpha-4;Paxillin
6935	MYC-TRRAP-KAT2A complex	Human	c-Myc-TRRAP-GCN5 complex	293 cell lysates	P01106;Q92830;Q9Y4A5	4609;2648;8295	MI:0019-coimmunoprecipitation	GO:0006338;GO:0016573;GO:0006351	chromatin remodeling;histone acetylation;transcription, DNA-templated	11	TRANSCRIPTION	BHLHE39,  c-Myc;GCN5, GCN5L2, HGCN5;PAF400	TRRAP and hGCN5 are contained in a complex which associates withthe c-Myc N terminus in vivo and after in vitro reconstitution.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MYC;KAT2A;TRRAP	10611234	Myc proto-oncogene protein;Histone acetyltransferase KAT2A;Transformation/transcription domain-associated protein
6936	KAT2A-TRRAP complex	Human	hGCN5-TRRAP complex	293 cell lysates	Q92830;Q9Y4A5	2648;8295	MI:0019-coimmunoprecipitation	GO:0016573;GO:0006351	histone acetylation;transcription, DNA-templated	11	TRANSCRIPTION	GCN5, GCN5L2, HGCN5;PAF400	hGCN5 (KAT2A) and TRRAP preexist in a complex in mammalian cells. Their interaction does not require c-Myc, and only a small fraction of the hGCN5-TRRAP complexcontains c-Myc.	None	Homo sapiens (Human);Homo sapiens (Human)	None	KAT2A;TRRAP	10611234	Histone acetyltransferase KAT2A;Transformation/transcription domain-associated protein
6937	ARHGEF2-MAPK1-MAPK3-PXN complex	Human	Paxillin-p42/44MAPK-GEF-H1 complex	Human lung endothelial cells	P27361;P28482;P49023;Q92974	5595;5594;5829;9181	MI:0019-coimmunoprecipitation	GO:0035025;GO:0043114	positive regulation of Rho protein signal transduction;regulation of vascular permeability	None	None	ERK1, PRKM3;ERK2, PRKM1, PRKM2;None;KIAA0651, LFP40, GEF-H1, GEFH1	Cyclic stretches in lung cells induce functional interactions between paxillin, p42/44 MAPK, and GEF-H1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	MAPK3;MAPK1;PXN;ARHGEF2	24706358	Mitogen-activated protein kinase 3;Mitogen-activated protein kinase 1;Paxillin;Rho guanine nucleotide exchange factor 2
6938	c-Src immune complex	Mouse	None	LbetaT2 cells	P05213;P05480;P16054;P20444;P28867;P34152;P49817;P63085;P68369;Q01776;Q61097;Q63844;Q64727;Q8VI36	22143;20779;18754;18750;18753;14083;12389;26413;22142;14715;16706;26417;22330;19303	MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0016477;GO:0097210	cell migration;response to gonadotropin-releasing hormone	34.05.01	cell migration	Tuba2;pp60c-src;Pkce,Pkcea;Pkca;Pkcd;Fadk Fak Fak1 Kiaa4203;Cav;Erk2, Mapk, Prkm1;Tuba1;None;Ksr;Erk1, Prkm3;None;None	The authors propose that the role of this complex is to sequester a pool of activated ERK1/2 in the cytosol for the phosphorylation of FAK and paxillin at focal adhesions.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Tuba1b;Src;Prkce;Prkca;Prkcd;Ptk2;Cav1;Mapk1;Tuba1a;Gnrhr;Ksr1;Mapk3;Vcl;Pxn	19628583	Tubulin alpha-1B chain;Neuronal proto-oncogene tyrosine-protein kinase Src;Protein kinase C epsilon type;Protein kinase C alpha type;Protein kinase C delta type;Focal adhesion kinase 1;Caveolin-1;Mitogen-activated protein kinase 1;Tubulin alpha-1A chain;Gonadotropin-releasing hormone receptor;Kinase suppressor of Ras 1;Mitogen-activated protein kinase 3;Vinculin;Paxillin
6939	Norrin receptor complex	Human	FZD4-LRP5-NDP-TSPAN12 complex	HEK 293 cells	O75197;O95859;Q00604;Q9ULV1	4041;23554;4693;8322	MI:0007-anti tag coimmunoprecipitation;MI:0040-electron microscopy	GO:0007166;GO:0005886	cell surface receptor signaling pathway;plasma membrane	30.05;70.02	transmembrane signal transduction;eukaryotic plasma membrane / membrane attached	LR3,LRP7;NET2,TM4SF12;EVR2;None	Overexpressed TSPAN12 associates with the Norrin-receptor complex and significantly increases Norrin/beta-catenin but not Wnt/beta-catenin signaling.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	LRP5;TSPAN12;NDP;FZD4	19837033	Low-density lipoprotein receptor-related protein 5;Tetraspanin-12;Norrin;Frizzled-4
6940	LRP6-PTH-PTH1R complex	Human	None	HEK293 cells	O75581;P01270;Q03431	4040;5741;5745	MI:0019-coimmunoprecipitation;MI:0055-fluorescent resonance energy transfer	GO:1905114;GO:0005886	cell surface receptor signaling pathway involved in cell-cell signaling;plasma membrane	70.02	eukaryotic plasma membrane / membrane attached	None;None;PTHR, PTHR1	The authors found that PTH activates  beta-catenin signaling in osteoblasts both in vitro and in vivo by sharing of a coreceptor with Wnt; however, PTH signal acts in a distinct manner from that of the canonical Wnt signaling pathway in that LRP6 forms a complex with PTH and PTH1R. The ternary complex promoted phosphorylation of LRP6, which recruits axin from the cytoplasma, and induces  beta-catenin stabilization.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	LRP6;PTH;PTH1R	18981475	Low-density lipoprotein receptor-related protein 6;Parathyroid hormone;Parathyroid hormone/parathyroid hormone-related peptide receptor
6941	Lrp6-Pth-Pth1r complex	Rat	None	UMR-106 cells	A0A0G2K0H3;P04089;P25961	312781;24694;56813	MI:0019-coimmunoprecipitation;MI:0055-fluorescent resonance energy transfer	GO:1905114;GO:0005886	cell surface receptor signaling pathway involved in cell-cell signaling;plasma membrane	70.02	eukaryotic plasma membrane / membrane attached	None;None;Pthr Pthr1	The authors found that PTH activates  beta-catenin signaling in osteoblasts both in vitro and in vivo by sharing of a coreceptor with Wnt; however, PTH signal acts in a distinct manner from that of the canonical Wnt signaling pathway in that LRP6 forms a complex with PTH and PTH1R. The ternary complex promoted phosphorylation of LRP6, which recruits axin from the cytoplasma, and induces  beta-catenin stabilization.	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Lrp6;Pth;Pth1r	18981475	Low-density lipoprotein receptor-related protein;Parathyroid hormone;Parathyroid hormone/parathyroid hormone-related peptide receptor
6942	FZD5-LGR5-LRP6 complex	Human	None	HEK293 cells	O75473;O75581;Q13467	8549;4040;7855	MI:0019-coimmunoprecipitation;MI:0055-fluorescent resonance energy transfer	GO:0030177;GO:0005886	positive regulation of Wnt signaling pathway;plasma membrane	70.02	eukaryotic plasma membrane / membrane attached	GPR49 GPR67;None;C2orf31	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	LGR5;LRP6;FZD5	22473993	Leucine-rich repeat-containing G-protein coupled receptor 5;Low-density lipoprotein receptor-related protein 6;Frizzled-5
6943	Axin1-Ctnnb1-Lrp5 complex	Mouse	None	MC3T3-E1 osteoblasts	O35625;Q02248;Q91VN0	12005;12387;16973	MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0030178;GO:0005886;GO:1903010	negative regulation of Wnt signaling pathway;plasma membrane;regulation of bone development	70.02	eukaryotic plasma membrane / membrane attached	Axin Fu;Catnb;Lrp7	The Axin1-Ctnnb1-Lrp5 complex negatively regulates Wnt signaling through beta-catenin degradation, resulting in decreased osteoblast differentiation.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Axin1;Ctnnb1;Lrp5	19075000	Axin-1;Catenin beta-1;Low-density lipoprotein receptor-related protein 5
6944	Fzd8-Ror2-Wnt5a complex	Mouse	None	MEF cells	P22725;Q61091;Q9Z138	22418;14370;None	MI:0019-coimmunoprecipitation	GO:0035567	non-canonical Wnt signaling pathway	None	None	None;None;None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Wnt5a;Fzd8;Ror2	21078818	Protein Wnt-5a;Frizzled-8;Tyrosine-protein kinase transmembrane receptor ROR2
6945	Fzd7-Gnas-Pik3r1 complex	Mouse	None	C2C12 cells	P26450;P63094;Q61090	18708;14683;14369	MI:0019-coimmunoprecipitation	GO:0035567;GO:0098724;GO:0014896	non-canonical Wnt signaling pathway;symmetric stem cell division;muscle hypertrophy	None	None	None;Gnas1;None	Wnt7a\u2013Fzd7 activates distinct pathways at different developmental stages during myogenic lineage progression. Experiments identified a non-canonical anabolic signalling pathway for Wnt7a and its receptor Fzd7 in skeletal muscle.	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Since the authors did not specify Gnas, we used UniProt-ID P63094.	Pik3r1;Gnas;Fzd7	22179044	Phosphatidylinositol 3-kinase regulatory subunit alpha;Guanine nucleotide-binding protein G;Frizzled-7
